Country Code,Year,GDP,GDP_normalized
CHN,2011,7551550000000.0,0.4840830272377033
HKG,2011,248514000000.0,0.01593069097482644
JPN,2011,6233150000000.0,0.39956858144707913
KOR,2011,1253290000000.0,0.08034064757655596
MYS,2011,297952000000.0,0.01909985448438111
SAU,2011,676635000000.0,0.04337487259370373
SGP,2011,279356000000.0,0.017907780277825854
THA,2011,370819000000.0,0.02377090585075354
USA,2011,15599700000000.0,1.0
CHN,2012,8532190000000.0,0.5249286329518887
HKG,2012,262629000000.0,0.0161578073089701
JPN,2012,6272360000000.0,0.38589639473360404
KOR,2012,1278050000000.0,0.07862987572289898
MYS,2012,314443000000.0,0.01934557647348345
SAU,2012,741850000000.0,0.045641072966654365
SGP,2012,295093000000.0,0.01815510028300726
THA,2012,397558000000.0,0.024459086993970716
USA,2012,16254000000000.0,1.0
CHN,2013,9570470000000.0,0.5669474607095677
HKG,2013,275697000000.0,0.016332083385167676
JPN,2013,5212330000000.0,0.3087745176444105
KOR,2013,1370630000000.0,0.08119509262056668
MYS,2013,323276000000.0,0.01915062763984906
SAU,2013,753865000000.0,0.044658396867428486
SGP,2013,307576000000.0,0.018220571421801227
THA,2013,420334000000.0,0.024900270723370477
USA,2013,16880700000000.0,1.0
CHN,2014,10475600000000.0,0.5949307421016464
HKG,2014,291460000000.0,0.016552609310487788
JPN,2014,4896990000000.0,0.27811007434078633
KOR,2014,1484490000000.0,0.08430722224430802
MYS,2014,338066000000.0,0.01919945933973569
SAU,2014,766606000000.0,0.04353712211993344
SGP,2014,314864000000.0,0.01788177032161335
THA,2014,407339000000.0,0.02313361464326077
USA,2014,17608100000000.0,1.0
CHN,2015,11061600000000.0,0.604624214266193
HKG,2015,309386000000.0,0.01691095927849139
JPN,2015,4444930000000.0,0.2429587318939601
KOR,2015,1466040000000.0,0.08013336977316207
MYS,2015,301355000000.0,0.016471986881661658
SAU,2015,669484000000.0,0.03659382344902979
SGP,2015,307999000000.0,0.01683514621481279
THA,2015,401296000000.0,0.021934736266739547
USA,2015,18295000000000.0,1.0
CHN,2016,11233300000000.0,0.5973602624847779
HKG,2016,320860000000.0,0.017062574116320745
JPN,2016,5003680000000.0,0.2660838398502518
KOR,2016,1499680000000.0,0.079749427011045
MYS,2016,301256000000.0,0.01602007987279911
SAU,2016,666000000000.0,0.03541630107046568
SGP,2016,319054000000.0,0.016966535317922457
THA,2016,413366000000.0,0.0219818238863275
USA,2016,18804900000000.0,1.0
CHN,2017,12310500000000.0,0.6276992264979273
HKG,2017,341273000000.0,0.017401145211374612
JPN,2017,4930840000000.0,0.2514182570963844
KOR,2017,1623070000000.0,0.08275860310726542
MYS,2017,319109000000.0,0.016271026560133794
SAU,2017,714995000000.0,0.036456830222158766
SGP,2017,343257000000.0,0.01750230724909622
THA,2017,456357000000.0,0.023269155266391665
USA,2017,19612100000000.0,1.0
CHN,2018,13894900000000.0,0.6726647786411057
HKG,2018,361731000000.0,0.01751172754338828
JPN,2018,5040880000000.0,0.24403359717280276
KOR,2018,1725370000000.0,0.08352673492605234
MYS,2018,358789000000.0,0.01736930264081524
SAU,2018,846584000000.0,0.04098390337182001
SGP,2018,376893000000.0,0.018245733788395904
THA,2018,506754000000.0,0.024532423208191125
USA,2018,20656500000000.0,1.0
CHN,2019,14280000000000.0,0.6629526462395543
HKG,2019,363075000000.0,0.0168558495821727
JPN,2019,5117990000000.0,0.23760399257195913
KOR,2019,1651420000000.0,0.07666759517177345
MYS,2019,365178000000.0,0.016953481894150416
SAU,2019,838565000000.0,0.038930594243268335
SGP,2019,376902000000.0,0.01749777158774373
THA,2019,543977000000.0,0.02525427112349118
USA,2019,21540000000000.0,1.0
CHN,2020,14687700000000.0,0.6878163912316604
HKG,2020,344943000000.0,0.016153478723055524
JPN,2020,5055590000000.0,0.2367503196107539
KOR,2020,1644310000000.0,0.07700207454306199
MYS,2020,337456000000.0,0.01580286689675519
SAU,2020,734271000000.0,0.03438548100833095
SGP,2020,349488000000.0,0.016366318411920894
THA,2020,500462000000.0,0.02343634243541053
USA,2020,21354100000000.0,1.0
CHN,2021,17820500000000.0,0.7525167643531577
HKG,2021,368954000000.0,0.015580038173741196
JPN,2021,5034620000000.0,0.21259986824991978
KOR,2021,1818430000000.0,0.07678791615289765
MYS,2021,373785000000.0,0.015784039660152356
SAU,2021,874156000000.0,0.036913501005016634
SGP,2021,434112000000.0,0.018331503471107884
THA,2021,506256000000.0,0.021377970710943703
USA,2021,23681200000000.0,1.0
CHN,2022,17881800000000.0,0.6875790655556795
HKG,2022,358681000000.0,0.013791762955215732
JPN,2022,4256410000000.0,0.1636646428447835
KOR,2022,1673920000000.0,0.06436445712483994
MYS,2022,407606000000.0,0.015672994474543293
SAU,2022,1108570000000.0,0.04262599540891071
SGP,2022,498475000000.0,0.019167028750062483
THA,2022,495645000000.0,0.019058211474647112
USA,2022,26006900000000.0,1.0
CHN,2023,17794800000000.0,0.6419318415480129
HKG,2023,380812000000.0,0.013737459732257843
JPN,2023,4204490000000.0,0.15167329829333315
KOR,2023,1712790000000.0,0.06178740075106329
MYS,2023,399705000000.0,0.014419008178004162
SAU,2023,1067580000000.0,0.03851201448736864
SGP,2023,501428000000.0,0.018088576406800692
THA,2023,514969000000.0,0.018577056134946087
USA,2023,27720700000000.0,1.0
