Partner,HS Code,HS_Section,Predicted Exports,Target Year
Saudi Arabia,29.0,29,102020981.3368944,2027
Saudi Arabia,27.0,27,332912201.01653004,2027
South Korea,90.0,90,1259048314.3796043,2027
South Korea,85.0,85,14250993478.646915,2027
South Korea,84.0,84,5564083082.909743,2027
South Korea,83.0,83,65659969.13733051,2027
South Korea,71.0,71,118031918.82385537,2027
South Korea,39.0,39,363455688.473469,2027
South Korea,38.0,38,185801331.95255822,2027
South Korea,33.0,33,72357134.43916702,2027
South Korea,29.0,29,580579183.8794937,2027
South Korea,27.0,27,2645468382.341347,2027
Thailand,90.0,90,1401283032.248153,2027
Thailand,85.0,85,13318835837.72398,2027
Thailand,84.0,84,4750068879.256603,2027
Thailand,83.0,83,65659969.13733051,2027
Thailand,71.0,71,104403021.5615002,2027
Thailand,39.0,39,730398730.1354998,2027
Thailand,38.0,38,391071664.3180878,2027
Thailand,33.0,33,81458697.8784557,2027
Thailand,29.0,29,402786255.8742925,2027
Thailand,27.0,27,2324905938.2025437,2027
United Arab Emirates,90.0,90,950714020.1428065,2027
United Arab Emirates,85.0,85,8875185690.838627,2027
United Arab Emirates,84.0,84,2434482832.2241535,2027
United Arab Emirates,83.0,83,65659969.13733051,2027
United Arab Emirates,71.0,71,83617356.86837898,2027
United Arab Emirates,39.0,39,590330436.8513191,2027
United Arab Emirates,38.0,38,234803878.02265316,2027
United Arab Emirates,33.0,33,65659969.13733051,2027
United Arab Emirates,29.0,29,189459296.30466318,2027
United Arab Emirates,27.0,27,1379446245.6136231,2027
United States of America,90.0,90,4428890256.560313,2027
United States of America,85.0,85,26489122129.84347,2027
United States of America,84.0,84,25414946825.65906,2027
United States of America,83.0,83,65659969.13733051,2027
United States of America,71.0,71,524451146.5227508,2027
United States of America,39.0,39,2365763112.0704837,2027
United States of America,38.0,38,1013700028.679086,2027
United States of America,33.0,33,260213395.03064272,2027
United States of America,29.0,29,1207963733.915857,2027
United States of America,27.0,27,9801361202.679071,2027
Australia,All Products,All,26329939178.92097,2027
China,All Products,All,95036081172.02592,2027
Germany,All Products,All,13502979401.115541,2027
India,All Products,All,23226331100.44093,2027
Indonesia,All Products,All,59838252712.615814,2027
Japan,All Products,All,26803611634.45669,2027
Malaysia,All Products,All,42174794661.862,2027
Philippines,All Products,All,20293192499.51054,2027
Saudi Arabia,All Products,All,6368241945.178583,2027
South Korea,All Products,All,25105478484.983482,2027
Thailand,All Products,All,23570872026.33645,2027
United Arab Emirates,All Products,All,14869359695.140886,2027
United States of America,All Products,All,71572071800.09807,2027
